StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_005_P1				43				-45	158			
MAP Protocol	VS_B	ADMI_005_P1				59				-43	165			
MAP Protocol	VS_B	ADMI_005_P1				76				-27	137			
MAP Protocol	VS_B	ADMI_005_P1				92				-43	169			
MAP Protocol	VS_B	ADMI_005_P1				109				-31	151			
MAP Protocol	VS_B	ADMI_005_P1				125				3	138			
MAP Protocol	VS_B	ADMI_005_P1				142				-52	256	155.36	112.59	
MAP Protocol	VS_B	ADMI_005_P1				159				-2	138			
MAP Protocol	VS_B	ADMI_005_P1				176				-74	148			
MAP Protocol	VS_B	ADMI_005_P1				192				-5	139			
MAP Protocol	VS_B	ADMI_005_P1				209				-37	163			
MAP Protocol	VS_B	ADMI_005_P1				226				-50	250	155.27	112.73	
MAP Protocol	VS_B	ADMI_005_P1				242				-1	144			
MAP Protocol	VS_B	ADMI_005_P1				259				18	132			
MAP Protocol	VS_B	ADMI_005_P1				276				30	135			
MAP Protocol	VS_B	ADMI_005_P1				292				-51	256	155.26	112.73	
MAP Protocol	VS_B	ADMI_005_P1				309				-39	291	155.28	112.71	
MAP Protocol	VS_B	ADMI_005_P1				326				-51	292	154.30	114.82	
MAP Protocol	VS_B	ADMI_005_P1				342				-50	290	154.79	113.78	
MAP Protocol	VS_B	ADMI_005_P1				359				-54	296	154.49	114.50	
MAP Protocol	VS_B	ADMI_005_P1				376				-53	297	155.03	113.45	
MAP Protocol	VS_B	ADMI_005_P1				392				-6	227			
MAP Protocol	VS_B	ADMI_005_P1				409				-35	274	155.01	113.41	
MAP Protocol	VS_B	ADMI_005_P1				425				324	223	155.04	113.47	
MAP Protocol	VS_B	ADMI_005_P1				442								
MAP Protocol	VS_B	ADMI_005_P1				459								
MAP Protocol	VS_B	ADMI_005_P1				475				-97	289	155.18	113.70	
MAP Protocol	VS_B	ADMI_005_P1				492				-191	38			
MAP Protocol	VS_B	ADMI_005_P1				509				-152	164	155.35	113.89	
MAP Protocol	VS_B	ADMI_005_P1				525				-129	176	155.47	113.99	
MAP Protocol	VS_B	ADMI_005_P1				542				121	349	155.79	114.11	
MAP Protocol	VS_B	ADMI_005_P1				559				252	425	152.28	122.87	
MAP Protocol	VS_B	ADMI_005_P1				575				382	488	150.01	129.01	
MAP Protocol	VS_B	ADMI_005_P1				592				492	530	149.58	131.08	
MAP Protocol	VS_B	ADMI_005_P1				595	Instruction Element							
MAP Protocol	VS_B	ADMI_005_P1				609				574	560	149.60	132.13	
MAP Protocol	VS_B	ADMI_005_P1				625				568	571	150.50	130.55	
MAP Protocol	VS_B	ADMI_005_P1				642				569	577	149.47	133.40	
MAP Protocol	VS_B	ADMI_005_P1				658				576	567	149.14	134.54	
MAP Protocol	VS_B	ADMI_005_P1				675				564	574	150.15	132.71	
MAP Protocol	VS_B	ADMI_005_P1				692				575	571	150.77	131.64	
MAP Protocol	VS_B	ADMI_005_P1				709				579	572	150.62	132.36	
MAP Protocol	VS_B	ADMI_005_P1				725				566	570	150.35	133.50	
MAP Protocol	VS_B	ADMI_005_P1				742				574	564	149.68	135.42	
MAP Protocol	VS_B	ADMI_005_P1				759				572	568	150.76	133.21	
MAP Protocol	VS_B	ADMI_005_P1				775				570	569	150.43	134.28	
MAP Protocol	VS_B	ADMI_005_P1				792				578	559	150.92	133.38	
MAP Protocol	VS_B	ADMI_005_P1				809				570	566	151.09	133.18	
MAP Protocol	VS_B	ADMI_005_P1				825				577	559	150.81	134.02	
MAP Protocol	VS_B	ADMI_005_P1				842				573	569	151.73	131.94	
MAP Protocol	VS_B	ADMI_005_P1				858				575	563	151.57	132.43	
MAP Protocol	VS_B	ADMI_005_P1				875				566	557	151.51	132.64	
MAP Protocol	VS_B	ADMI_005_P1				892				573	559	151.27	133.20	
MAP Protocol	VS_B	ADMI_005_P1				908				576	566	152.05	131.31	
MAP Protocol	VS_B	ADMI_005_P1				925				576	565	152.23	130.96	
MAP Protocol	VS_B	ADMI_005_P1				942				573	560	151.86	131.85	
MAP Protocol	VS_B	ADMI_005_P1				958				576	556	151.70	132.30	
MAP Protocol	VS_B	ADMI_005_P1				975				579	566	152.55	130.33	
MAP Protocol	VS_B	ADMI_005_P1				992				574	565	151.91	131.89	
MAP Protocol	VS_B	ADMI_005_P1				1008				583	561	152.56	130.35	
MAP Protocol	VS_B	ADMI_005_P1				1025				582	564	152.72	129.91	
MAP Protocol	VS_B	ADMI_005_P1				1042				580	558	152.67	129.98	
MAP Protocol	VS_B	ADMI_005_P1				1058				611	465	153.21	129.37	
MAP Protocol	VS_B	ADMI_005_P1				1075				631	391	153.79	128.49	
MAP Protocol	VS_B	ADMI_005_P1				1092				634	399	153.76	128.54	
MAP Protocol	VS_B	ADMI_005_P1				1108				630	407	154.52	126.80	
MAP Protocol	VS_B	ADMI_005_P1				1125				631	404	154.10	127.96	
MAP Protocol	VS_B	ADMI_005_P1				1142				634	401	154.16	128.08	
MAP Protocol	VS_B	ADMI_005_P1				1158				642	397	153.88	129.05	
MAP Protocol	VS_B	ADMI_005_P1				1175				631	397	154.33	128.27	
MAP Protocol	VS_B	ADMI_005_P1				1192				632	401	154.58	127.99	
MAP Protocol	VS_B	ADMI_005_P1				1208				632	405	155.17	126.91	
MAP Protocol	VS_B	ADMI_005_P1				1225				631	400	154.77	128.14	
MAP Protocol	VS_B	ADMI_005_P1				1241				629	397	154.63	128.75	
MAP Protocol	VS_B	ADMI_005_P1				1258				627	394	155.01	128.01	
MAP Protocol	VS_B	ADMI_005_P1				1275				634	401	155.46	127.03	
MAP Protocol	VS_B	ADMI_005_P1				1291				629	397	155.64	126.70	
MAP Protocol	VS_B	ADMI_005_P1				1308				626	395	154.96	128.36	
MAP Protocol	VS_B	ADMI_005_P1				1325				631	397	155.34	127.37	
MAP Protocol	VS_B	ADMI_005_P1				1341				630	407	155.57	126.73	
MAP Protocol	VS_B	ADMI_005_P1				1358				625	398	155.16	127.59	
MAP Protocol	VS_B	ADMI_005_P1				1375				632	399	155.10	127.56	
MAP Protocol	VS_B	ADMI_005_P1				1391				629	396	154.97	127.74	
MAP Protocol	VS_B	ADMI_005_P1				1408				640	395	154.96	127.61	
MAP Protocol	VS_B	ADMI_005_P1				1425				631	403	155.19	126.84	
MAP Protocol	VS_B	ADMI_005_P1				1441				640	403	155.73	125.29	
MAP Protocol	VS_B	ADMI_005_P1				1458				629	398	154.54	127.96	
MAP Protocol	VS_B	ADMI_005_P1				1475				637	408	155.58	125.26	
MAP Protocol	VS_B	ADMI_005_P1				1491				625	402	154.72	127.12	
MAP Protocol	VS_B	ADMI_005_P1				1508				633	396	154.54	127.33	
MAP Protocol	VS_B	ADMI_005_P1				1525				629	390	154.54	127.08	
MAP Protocol	VS_B	ADMI_005_P1				1541				628	398	154.93	125.92	
MAP Protocol	VS_B	ADMI_005_P1				1558				620	407	154.58	126.51	
MAP Protocol	VS_B	ADMI_005_P1				1575				632	398	154.85	125.74	
MAP Protocol	VS_B	ADMI_005_P1				1591								
MAP Protocol	VS_B	ADMI_005_P1				1608								
MAP Protocol	VS_B	ADMI_005_P1				1625				635	398	154.44	126.17	
MAP Protocol	VS_B	ADMI_005_P1				1641				627	403	154.39	126.13	
MAP Protocol	VS_B	ADMI_005_P1				1658				624	405	154.71	125.21	
MAP Protocol	VS_B	ADMI_005_P1				1675				627	405	154.39	125.82	
MAP Protocol	VS_B	ADMI_005_P1				1691				632	412	155.25	123.68	
MAP Protocol	VS_B	ADMI_005_P1				1708				623	396	154.46	125.47	
MAP Protocol	VS_B	ADMI_005_P1				1725				638	396	154.90	124.32	
MAP Protocol	VS_B	ADMI_005_P1				1741				640	415	155.42	123.07	
MAP Protocol	VS_B	ADMI_005_P1				1758				637	392	154.56	125.04	
MAP Protocol	VS_B	ADMI_005_P1				1775				638	404	155.05	123.86	
MAP Protocol	VS_B	ADMI_005_P1				1791				629	405	154.86	124.31	
MAP Protocol	VS_B	ADMI_005_P1				1808				622	401	155.02	123.92	
MAP Protocol	VS_B	ADMI_005_P1				1825				632	403	154.75	124.57	
MAP Protocol	VS_B	ADMI_005_P1				1841				622	414	155.76	122.21	
MAP Protocol	VS_B	ADMI_005_P1				1858				631	403	155.40	123.11	
MAP Protocol	VS_B	ADMI_005_P1				1874				629	399	154.88	124.49	
MAP Protocol	VS_B	ADMI_005_P1				1891				650	395	155.53	123.26	
MAP Protocol	VS_B	ADMI_005_P1				1908				637	400	155.63	123.37	
MAP Protocol	VS_B	ADMI_005_P1				1924				641	393	155.84	123.37	
