StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_669_M1				1								
MAP Protocol	VS_B	ADMI_669_M1				18				809	539	199.47	212.92	
MAP Protocol	VS_B	ADMI_669_M1				35				785	540	200.07	211.19	
MAP Protocol	VS_B	ADMI_669_M1				51				809	504	199.40	212.83	
MAP Protocol	VS_B	ADMI_669_M1				68				820	496	199.40	212.81	
MAP Protocol	VS_B	ADMI_669_M1				85				822	497	199.64	210.46	
MAP Protocol	VS_B	ADMI_669_M1				101				818	491	199.45	212.45	
MAP Protocol	VS_B	ADMI_669_M1				118				823	494	199.43	212.75	
MAP Protocol	VS_B	ADMI_669_M1				125	Instruction Element							
MAP Protocol	VS_B	ADMI_669_M1				135				821	498	199.58	211.05	
MAP Protocol	VS_B	ADMI_669_M1				151				826	493	199.48	211.97	
MAP Protocol	VS_B	ADMI_669_M1				168				817	496	199.51	211.64	
MAP Protocol	VS_B	ADMI_669_M1				185				818	490	199.40	212.61	
MAP Protocol	VS_B	ADMI_669_M1				201				821	496	199.41	212.58	
MAP Protocol	VS_B	ADMI_669_M1				218				817	489	199.46	211.96	
MAP Protocol	VS_B	ADMI_669_M1				235				813	495	199.39	212.53	
MAP Protocol	VS_B	ADMI_669_M1				251				819	496	199.37	212.54	
MAP Protocol	VS_B	ADMI_669_M1				268				815	496	199.35	212.57	
MAP Protocol	VS_B	ADMI_669_M1				285				819	495	199.33	212.53	
MAP Protocol	VS_B	ADMI_669_M1				301				817	496	199.32	212.55	
MAP Protocol	VS_B	ADMI_669_M1				318				817	490	199.31	212.53	
MAP Protocol	VS_B	ADMI_669_M1				335				809	493	199.30	212.52	
MAP Protocol	VS_B	ADMI_669_M1				351				825	491	199.31	212.49	
MAP Protocol	VS_B	ADMI_669_M1				368				817	499	199.32	212.52	
MAP Protocol	VS_B	ADMI_669_M1				385				808	490	199.29	212.59	
MAP Protocol	VS_B	ADMI_669_M1				401				734	436	199.13	212.67	
MAP Protocol	VS_B	ADMI_669_M1				418				698	420	199.10	212.71	
MAP Protocol	VS_B	ADMI_669_M1				435				698	422	199.10	212.70	
MAP Protocol	VS_B	ADMI_669_M1				451				703	417	199.06	212.70	
MAP Protocol	VS_B	ADMI_669_M1				468				702	429	199.03	212.69	
MAP Protocol	VS_B	ADMI_669_M1				484				709	430	199.00	212.68	
MAP Protocol	VS_B	ADMI_669_M1				501				711	426	198.98	212.66	
MAP Protocol	VS_B	ADMI_669_M1				518				729	436	198.17	220.53	
MAP Protocol	VS_B	ADMI_669_M1				534				731	445	198.90	212.61	
MAP Protocol	VS_B	ADMI_669_M1				551				731	453	198.89	212.67	
MAP Protocol	VS_B	ADMI_669_M1				568				702	416	198.36	218.85	
MAP Protocol	VS_B	ADMI_669_M1				584				713	432	198.25	219.75	
MAP Protocol	VS_B	ADMI_669_M1				601				724	438	198.55	216.23	
MAP Protocol	VS_B	ADMI_669_M1				618				720	436	198.86	212.72	
MAP Protocol	VS_B	ADMI_669_M1				634				714	447	198.84	212.75	
MAP Protocol	VS_B	ADMI_669_M1				651				724	442	198.83	212.69	
MAP Protocol	VS_B	ADMI_669_M1				668				676	407	198.77	212.86	
MAP Protocol	VS_B	ADMI_669_M1				684				675	396	198.79	213.34	
MAP Protocol	VS_B	ADMI_669_M1				701				661	393	198.85	212.90	
