StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_B	ADMI_515_P1				36				188	357	292.13	216.46	
MAP Protocol	VS_B	ADMI_515_P1				53				181	353	292.08	216.64	
MAP Protocol	VS_B	ADMI_515_P1				69				177	409	291.94	216.43	
MAP Protocol	VS_B	ADMI_515_P1				86				125	607	291.91	216.27	
MAP Protocol	VS_B	ADMI_515_P1				103				81	733	291.74	216.04	
MAP Protocol	VS_B	ADMI_515_P1				119				83	741	291.49	215.83	
MAP Protocol	VS_B	ADMI_515_P1				136				82	754	291.29	215.64	
MAP Protocol	VS_B	ADMI_515_P1				152				79	756	291.11	215.44	
MAP Protocol	VS_B	ADMI_515_P1				169				78	753	290.92	215.18	
MAP Protocol	VS_B	ADMI_515_P1				186				79	753	290.73	215.04	
MAP Protocol	VS_B	ADMI_515_P1				202				81	756	290.55	214.98	
MAP Protocol	VS_B	ADMI_515_P1				219				85	753	290.37	214.96	
MAP Protocol	VS_B	ADMI_515_P1				236				82	755	290.20	215.03	
MAP Protocol	VS_B	ADMI_515_P1				252				84	754	290.03	215.08	
MAP Protocol	VS_B	ADMI_515_P1				269				80	756	289.85	215.14	
MAP Protocol	VS_B	ADMI_515_P1				286				83	757	289.67	215.15	
MAP Protocol	VS_B	ADMI_515_P1				302				83	756	289.51	215.11	
MAP Protocol	VS_B	ADMI_515_P1				319				82	754	289.35	214.89	
MAP Protocol	VS_B	ADMI_515_P1				336				81	755	289.23	214.72	
MAP Protocol	VS_B	ADMI_515_P1				352				79	756	289.14	214.77	
MAP Protocol	VS_B	ADMI_515_P1				369				80	754	289.06	214.53	
MAP Protocol	VS_B	ADMI_515_P1				386				79	755	289.02	214.52	
MAP Protocol	VS_B	ADMI_515_P1				402				79	752	289.00	214.60	
MAP Protocol	VS_B	ADMI_515_P1				419				77	757	289.00	214.71	
MAP Protocol	VS_B	ADMI_515_P1				436				74	753	289.01	214.75	
MAP Protocol	VS_B	ADMI_515_P1				452				80	753	289.02	214.68	
MAP Protocol	VS_B	ADMI_515_P1				469				83	757	289.02	214.64	
MAP Protocol	VS_B	ADMI_515_P1				485				76	752	289.04	214.52	
MAP Protocol	VS_B	ADMI_515_P1				502				80	757	289.06	214.39	
MAP Protocol	VS_B	ADMI_515_P1				519				92	758	288.10	210.41	
MAP Protocol	VS_B	ADMI_515_P1				535				88	753	289.13	211.94	
MAP Protocol	VS_B	ADMI_515_P1				552				89	760	289.25	208.93	
MAP Protocol	VS_B	ADMI_515_P1				569				87	756	289.16	214.10	
MAP Protocol	VS_B	ADMI_515_P1				586				98	753	289.14	213.86	
MAP Protocol	VS_B	ADMI_515_P1				602				95	766			
MAP Protocol	VS_B	ADMI_515_P1				619				90	759	288.93	210.88	
MAP Protocol	VS_B	ADMI_515_P1				635				96	757	289.29	214.02	
MAP Protocol	VS_B	ADMI_515_P1				643	Instruction Element							
MAP Protocol	VS_B	ADMI_515_P1				652				89	756	289.32	213.95	
MAP Protocol	VS_B	ADMI_515_P1				669				105	756	289.53	207.16	
MAP Protocol	VS_B	ADMI_515_P1				685				283	750	289.55	212.28	
MAP Protocol	VS_B	ADMI_515_P1				702				494	695	290.59	213.52	
MAP Protocol	VS_B	ADMI_515_P1				719				673	665	291.17	213.22	
MAP Protocol	VS_B	ADMI_515_P1				735				714	663	291.38	213.21	
MAP Protocol	VS_B	ADMI_515_P1				752				723	661	291.33	212.97	
MAP Protocol	VS_B	ADMI_515_P1				769				719	664	291.38	213.04	
MAP Protocol	VS_B	ADMI_515_P1				785				719	664	291.43	213.14	
MAP Protocol	VS_B	ADMI_515_P1				802				726	662	291.46	213.07	
MAP Protocol	VS_B	ADMI_515_P1				819				721	660	291.51	213.03	
MAP Protocol	VS_B	ADMI_515_P1				835				722	662	291.55	213.08	
MAP Protocol	VS_B	ADMI_515_P1				852				724	663	291.58	213.09	
MAP Protocol	VS_B	ADMI_515_P1				869				725	663	291.59	212.93	
MAP Protocol	VS_B	ADMI_515_P1				885				723	665	291.61	212.79	
MAP Protocol	VS_B	ADMI_515_P1				902				721	663	291.64	212.66	
MAP Protocol	VS_B	ADMI_515_P1				919				723	660	291.68	212.70	
MAP Protocol	VS_B	ADMI_515_P1				935				724	666	291.75	212.88	
MAP Protocol	VS_B	ADMI_515_P1				952				723	657	291.80	212.93	
