StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_248_P1				27				94	427	264.75	240.00	
MAP Protocol	VS_A	ADMI_248_P1				44				134	436	264.48	239.55	
MAP Protocol	VS_A	ADMI_248_P1				61				129	432	264.12	239.11	
MAP Protocol	VS_A	ADMI_248_P1				77				129	444	263.71	238.59	
MAP Protocol	VS_A	ADMI_248_P1				94				126	443	263.23	238.36	
MAP Protocol	VS_A	ADMI_248_P1				111				124	453	262.70	237.97	
MAP Protocol	VS_A	ADMI_248_P1				127				122	436	262.15	237.61	
MAP Protocol	VS_A	ADMI_248_P1				144				117	432	261.56	237.14	
MAP Protocol	VS_A	ADMI_248_P1				160				134	440	260.98	236.90	
MAP Protocol	VS_A	ADMI_248_P1				177				115	421	260.41	236.46	
MAP Protocol	VS_A	ADMI_248_P1				194				118	444	259.88	236.11	
MAP Protocol	VS_A	ADMI_248_P1				210				96	439	259.32	235.52	
MAP Protocol	VS_A	ADMI_248_P1				227				80	433	258.79	235.31	
MAP Protocol	VS_A	ADMI_248_P1				244				67	437	258.39	234.98	
MAP Protocol	VS_A	ADMI_248_P1				260				84	431	258.00	234.60	
MAP Protocol	VS_A	ADMI_248_P1				277				68	437	257.68	234.33	
MAP Protocol	VS_A	ADMI_248_P1				294				71	427	257.44	234.21	
MAP Protocol	VS_A	ADMI_248_P1				310				71	432	257.22	234.18	
MAP Protocol	VS_A	ADMI_248_P1				327				63	430	257.05	234.32	
MAP Protocol	VS_A	ADMI_248_P1				344				67	436	256.93	234.44	
MAP Protocol	VS_A	ADMI_248_P1				360				71	438	256.88	234.54	
MAP Protocol	VS_A	ADMI_248_P1				377				66	433	256.86	234.41	
MAP Protocol	VS_A	ADMI_248_P1				394				112	416	256.98	234.24	
MAP Protocol	VS_A	ADMI_248_P1				410				273	353	257.49	234.15	
MAP Protocol	VS_A	ADMI_248_P1				427				435	344	258.10	233.68	
MAP Protocol	VS_A	ADMI_248_P1				444				595	358	258.71	233.17	
MAP Protocol	VS_A	ADMI_248_P1				460				735	409	259.37	232.29	
MAP Protocol	VS_A	ADMI_248_P1				477				810	458	259.92	231.63	
MAP Protocol	VS_A	ADMI_248_P1				494				810	450	260.26	231.13	
MAP Protocol	VS_A	ADMI_248_P1				510				796	446	260.64	230.27	
MAP Protocol	VS_A	ADMI_248_P1				527				818	453	261.15	229.86	
MAP Protocol	VS_A	ADMI_248_P1				544				795	461	261.78	229.52	
MAP Protocol	VS_A	ADMI_248_P1				560				815	456	262.46	229.36	
MAP Protocol	VS_A	ADMI_248_P1				575	Instruction Element							
MAP Protocol	VS_A	ADMI_248_P1				577				809	451	263.22	229.09	
MAP Protocol	VS_A	ADMI_248_P1				594				815	471	264.05	229.04	
MAP Protocol	VS_A	ADMI_248_P1				610				820	464	264.92	228.96	
MAP Protocol	VS_A	ADMI_248_P1				627				824	463	265.84	228.97	
MAP Protocol	VS_A	ADMI_248_P1				643				824	468	266.80	228.74	
MAP Protocol	VS_A	ADMI_248_P1				660				910	549	268.07	228.49	
MAP Protocol	VS_A	ADMI_248_P1				677				930	578			
MAP Protocol	VS_A	ADMI_248_P1				693				928	567	270.16	228.47	
MAP Protocol	VS_A	ADMI_248_P1				710				944	588	271.15	228.50	
MAP Protocol	VS_A	ADMI_248_P1				727				942	571			
MAP Protocol	VS_A	ADMI_248_P1				743				930	577	273.15	228.54	
MAP Protocol	VS_A	ADMI_248_P1				760				952	580	274.15	228.59	
MAP Protocol	VS_A	ADMI_248_P1				777				936	583	275.20	229.01	
MAP Protocol	VS_A	ADMI_248_P1				793				938	575	276.66	231.48	
MAP Protocol	VS_A	ADMI_248_P1				810				921	586	278.02	233.51	
MAP Protocol	VS_A	ADMI_248_P1				827				934	587	278.17	229.98	
MAP Protocol	VS_A	ADMI_248_P1				843				812	445	278.09	227.39	
MAP Protocol	VS_A	ADMI_248_P1				860				737	366	278.67	227.89	
MAP Protocol	VS_A	ADMI_248_P1				877								
MAP Protocol	VS_A	ADMI_248_P1				893								
MAP Protocol	VS_A	ADMI_248_P1				910				745	358	280.49	228.41	
MAP Protocol	VS_A	ADMI_248_P1				926				744	366	280.98	228.54	
MAP Protocol	VS_A	ADMI_248_P1				943				749	351	281.38	228.42	
MAP Protocol	VS_A	ADMI_248_P1				960				729	352	281.72	228.39	
