StudioProjectName	StudioTestName	ParticipantName	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	RecordingTimestamp	StudioEventData	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	
MAP Protocol	VS_A	ADMI_544_M1				16				114	317	168.37	283.95	
MAP Protocol	VS_A	ADMI_544_M1				33								
MAP Protocol	VS_A	ADMI_544_M1				50								
MAP Protocol	VS_A	ADMI_544_M1				66								
MAP Protocol	VS_A	ADMI_544_M1				83								
MAP Protocol	VS_A	ADMI_544_M1				100								
MAP Protocol	VS_A	ADMI_544_M1				116								
MAP Protocol	VS_A	ADMI_544_M1				133								
MAP Protocol	VS_A	ADMI_544_M1				150				926	646	161.02	266.91	
MAP Protocol	VS_A	ADMI_544_M1				166								
MAP Protocol	VS_A	ADMI_544_M1				183								
MAP Protocol	VS_A	ADMI_544_M1				199				909	649	156.96	272.58	
MAP Protocol	VS_A	ADMI_544_M1				216				903	679	156.06	271.91	
MAP Protocol	VS_A	ADMI_544_M1				233				918	643	155.23	271.29	
MAP Protocol	VS_A	ADMI_544_M1				249				904	640	153.86	273.30	
MAP Protocol	VS_A	ADMI_544_M1				266				913	650	153.05	272.92	
MAP Protocol	VS_A	ADMI_544_M1				283				887	611			
MAP Protocol	VS_A	ADMI_544_M1				300				913	624	152.14	272.80	
MAP Protocol	VS_A	ADMI_544_M1				316				922	647	151.97	273.09	
MAP Protocol	VS_A	ADMI_544_M1				333				905	621	152.03	273.46	
MAP Protocol	VS_A	ADMI_544_M1				350				906	650	152.22	273.95	
MAP Protocol	VS_A	ADMI_544_M1				366				892	629	152.65	274.38	
MAP Protocol	VS_A	ADMI_544_M1				383				922	661	153.16	274.86	
MAP Protocol	VS_A	ADMI_544_M1				400				916	634	153.79	275.28	
MAP Protocol	VS_A	ADMI_544_M1				416				849	850	154.27	275.72	
MAP Protocol	VS_A	ADMI_544_M1				433								
MAP Protocol	VS_A	ADMI_544_M1				450								
MAP Protocol	VS_A	ADMI_544_M1				466				918	853	156.89	277.93	
MAP Protocol	VS_A	ADMI_544_M1				483				927	854	158.52	275.64	
MAP Protocol	VS_A	ADMI_544_M1				500				944	831	159.74	276.06	
MAP Protocol	VS_A	ADMI_544_M1				516				950	873	160.95	276.71	
MAP Protocol	VS_A	ADMI_544_M1				533				900	903			
MAP Protocol	VS_A	ADMI_544_M1				550				915	861	164.11	277.63	
MAP Protocol	VS_A	ADMI_544_M1				566				919	857	165.40	278.50	
MAP Protocol	VS_A	ADMI_544_M1				583				927	864	167.18	279.06	
MAP Protocol	VS_A	ADMI_544_M1				600				925	860	169.08	278.74	
MAP Protocol	VS_A	ADMI_544_M1				616				971	883	170.93	279.21	
MAP Protocol	VS_A	ADMI_544_M1				633				1092	924	172.42	280.02	
MAP Protocol	VS_A	ADMI_544_M1				649								
MAP Protocol	VS_A	ADMI_544_M1				666								
MAP Protocol	VS_A	ADMI_544_M1				682				1049	902	176.30	280.53	
MAP Protocol	VS_A	ADMI_544_M1				699				1021	908	177.20	280.93	
MAP Protocol	VS_A	ADMI_544_M1				716				1047	897	177.88	281.59	
MAP Protocol	VS_A	ADMI_544_M1				732				1045	898	178.53	281.60	
MAP Protocol	VS_A	ADMI_544_M1				749				1032	899	178.95	281.76	
MAP Protocol	VS_A	ADMI_544_M1				766				1033	911	179.11	281.95	
MAP Protocol	VS_A	ADMI_544_M1				782				1036	895	179.10	282.09	
MAP Protocol	VS_A	ADMI_544_M1				799				1037	907	178.89	282.33	
MAP Protocol	VS_A	ADMI_544_M1				816				1039	907	178.56	282.45	
MAP Protocol	VS_A	ADMI_544_M1				822	Instruction Element							
MAP Protocol	VS_A	ADMI_544_M1				832				1030	899	178.17	282.59	
MAP Protocol	VS_A	ADMI_544_M1				849				1027	903	177.80	282.72	
MAP Protocol	VS_A	ADMI_544_M1				866				1030	904	177.50	282.79	
MAP Protocol	VS_A	ADMI_544_M1				882				1029	891	177.18	282.97	
MAP Protocol	VS_A	ADMI_544_M1				899				877	887	176.74	282.88	
MAP Protocol	VS_A	ADMI_544_M1				916				701	880	176.23	282.99	
MAP Protocol	VS_A	ADMI_544_M1				932				556	922	175.91	283.09	
MAP Protocol	VS_A	ADMI_544_M1				949				587	917	175.92	282.96	
MAP Protocol	VS_A	ADMI_544_M1				965				553	915	176.05	282.79	
MAP Protocol	VS_A	ADMI_544_M1				982				562	930	176.13	282.77	
MAP Protocol	VS_A	ADMI_544_M1				999				560	912	176.26	282.59	
MAP Protocol	VS_A	ADMI_544_M1				1015				551	924	176.34	282.49	
MAP Protocol	VS_A	ADMI_544_M1				1032				575	960	176.38	282.53	
MAP Protocol	VS_A	ADMI_544_M1				1049				585	907	176.40	282.52	
MAP Protocol	VS_A	ADMI_544_M1				1065				578	917	176.36	282.51	
MAP Protocol	VS_A	ADMI_544_M1				1082				571	920	176.30	282.54	
MAP Protocol	VS_A	ADMI_544_M1				1099				587	917	176.28	282.43	
MAP Protocol	VS_A	ADMI_544_M1				1115				576	918	176.18	282.62	
